timestamp,open,high,low,close,volume
05-09-2008,47.5,49.75,46.5,48.25,36875
12-09-2008,52.6,52.75,44.5,44.9,52747
19-09-2008,44.85,45,35.3,38.55,45325
26-09-2008,40.85,47.45,30.1,39.9,393185
03-10-2008,39.9,41,35.1,37.35,39007
10-10-2008,36,36.65,22,23.45,59943
17-10-2008,24.5,27.45,21,22.6,60615
24-10-2008,21,26,21,22.95,37990
31-10-2008,23,25.95,20.25,25.45,20229
07-11-2008,26,27,22.3,23.9,43865
14-11-2008,23.65,26,22.8,23.55,29289
21-11-2008,23.05,24,20,20.15,20756
28-11-2008,20.5,22.7,20.2,21.3,5307
05-12-2008,20.5,28.1,19.55,27.7,92084
12-12-2008,27.7,28.5,24.15,24.75,179023
19-12-2008,24.5,31,24.3,26.4,88583
26-12-2008,27.5,27.5,23,24.4,23580
02-01-2009,24.5,28.8,23.2,27.45,99734
09-01-2009,28.5,28.5,22,23.95,58801
16-01-2009,24.25,28.5,22.8,28.5,60807
23-01-2009,29.05,30.7,23.75,24.2,66038
30-01-2009,24.5,25,23.4,23.95,18229
06-02-2009,24,25.5,23.15,23.65,19324
13-02-2009,23.5,28,23,25.05,65485
20-02-2009,24.35,25.7,23.4,24.25,22718
27-02-2009,23.5,28,23.35,24.7,9590
06-03-2009,24.5,26.5,22,22.55,30497
09-03-2009,24.5,24.5,21.6,22.4,5708
13-03-2009,22.5,23,21.7,22.7,7062
20-03-2009,22.1,24.45,22,23.35,56272
27-03-2009,23.1,23.6,21.5,22,140167
02-04-2009,21.8,27,21.75,25,54470
09-04-2009,24.8,27.4,23.55,25.15,21467
17-04-2009,25.8,31.95,25.8,28.15,158302
24-04-2009,27.6,31.9,27.25,29.8,63625
29-04-2009,29.8,30.25,27.4,28.5,15314
08-05-2009,28.15,31,28,29,23250
15-05-2009,29.2,30.9,27.75,28.6,27157
22-05-2009,33.9,38.2,28.05,35.7,273123
29-05-2009,36.55,42.05,35.7,36.55,284474
05-06-2009,37.5,42.9,35.5,39.9,213410
12-06-2009,41,41.5,33,33.65,103586
19-06-2009,32.1,34.8,30.3,32.15,78187
26-06-2009,34.45,40.9,32.25,39.25,251301
03-07-2009,43.15,43.15,36.25,38.1,233144
10-07-2009,39.3,39.3,31,31.5,56787
17-07-2009,30.05,36,29.5,35.25,44830
24-07-2009,35.5,37.3,34.35,35.25,57431
31-07-2009,35,41.85,33.5,41.75,332423
07-08-2009,43.5,50.1,40,41.05,1826476
14-08-2009,42.5,43,38.1,41.65,169276
21-08-2009,41.5,41.95,39.2,40.85,60842
28-08-2009,40,44.85,40,41.4,212378
04-09-2009,41,42.55,40,40.7,58888
11-09-2009,41,46.65,40.7,41.45,348205
18-09-2009,41,42.75,39.5,40.35,143172
25-09-2009,40.5,44.25,40.5,41.4,166644
01-10-2009,43,43.9,41.9,42.45,78931
09-10-2009,45.2,49.65,43.6,44.15,860972
16-10-2009,44.5,50.5,43.5,46.85,378260
23-10-2009,48.45,52.25,47.5,50.4,385654
30-10-2009,51,56.7,48.7,51.1,422994
06-11-2009,50.4,57,44.65,54.15,475211
13-11-2009,55.55,55.55,52,54.75,234528
20-11-2009,55.5,57.9,51.5,52.95,186197
27-11-2009,53,55.2,50,51.05,68144
04-12-2009,52,56,51.25,53.85,121986
11-12-2009,55,55.7,52.15,53.2,142506
18-12-2009,52.15,54,49,49.8,85248
24-12-2009,49.55,49.55,47,48.75,33631
31-12-2009,47,52.85,46.1,50.3,180722
08-01-2010,50.85,62.7,50.05,55.2,1268490
15-01-2010,56,60.35,51,57.7,309159
22-01-2010,58.55,59,51.45,53.8,213380
29-01-2010,51.95,53.8,42.9,48.8,117985
05-02-2010,49.6,51.4,43.7,44.2,187656
11-02-2010,46.5,47.85,44.4,46.05,60873
19-02-2010,48.4,50,46.1,47.3,175796
26-02-2010,47.85,48.8,43.6,45.85,75848
05-03-2010,46.9,56.2,46.05,54.1,1697850
12-03-2010,55.2,55.2,50.55,51.25,234698
19-03-2010,53.5,56,51.25,53.55,326766
26-03-2010,52.5,53.45,51,51.25,70469
01-04-2010,50.4,53.4,50.4,52.8,61719
09-04-2010,53.5,57.5,52.5,53.15,197084
16-04-2010,53.5,53.6,48.55,49.35,70234
23-04-2010,49,51.4,46.55,46.8,207995
30-04-2010,47.3,48.6,43.8,46.15,50280
07-05-2010,46.85,46.85,41.5,42.5,46798
14-05-2010,43.05,44.7,41,41.65,22565
21-05-2010,41.1,42.2,37,38.4,42919
28-05-2010,39.95,45.8,39.95,44.2,345966
04-06-2010,43.8,48.6,43.25,48.05,199303
11-06-2010,50,51,47.3,48.25,165913
18-06-2010,49,49.95,47.6,47.9,51738
25-06-2010,48.5,48.5,46.25,46.5,11397
02-07-2010,47.5,48.7,46,46.65,35664
09-07-2010,46.5,46.95,44.85,45,29711
16-07-2010,45.3,50,44.5,45,28927
23-07-2010,45.5,49,45,45.85,124384
30-07-2010,45.05,45.95,42.5,44,42629
06-08-2010,45,47.7,44.2,44.6,77533
13-08-2010,45.05,48.75,42.3,45.85,308524
20-08-2010,46.25,47.9,43.8,45.35,686405
27-08-2010,45.8,47.8,42.15,42.65,221472
03-09-2010,43,46.8,42.75,44.5,109589
09-09-2010,44.5,45.85,43.7,44.1,41235
17-09-2010,44.95,45.55,40.6,42.4,31368
24-09-2010,44.9,44.9,40,41.1,72911
01-10-2010,41.5,42,39.1,40,33186
08-10-2010,40.2,43,39.65,40.85,56568
15-10-2010,40.6,42.2,39.05,39.55,84132
22-10-2010,39.95,46.5,38,39.5,61664
29-10-2010,40.6,43.25,40.15,41.25,142187
04-11-2010,41.05,48.9,41,46.75,221403
12-11-2010,46.2,57.4,46.15,48.6,621690
19-11-2010,48.5,52.5,44.8,45.35,171590
26-11-2010,44.5,48.8,38.2,42.25,101473
03-12-2010,42.5,45.45,39.5,43.85,70024
10-12-2010,43.85,45,33.85,35.95,77542
16-12-2010,38.7,39.95,37,37.7,35892
24-12-2010,38.3,40.1,37.35,39.95,25970
31-12-2010,40.85,41.15,38.55,40.1,15814
07-01-2011,40,41.95,38.25,38.35,16908
14-01-2011,37.65,45,29.6,35.75,572822
21-01-2011,35,35.5,26.95,33.05,53092
28-01-2011,33.8,33.9,31.5,31.95,39178
04-02-2011,31.45,34,30.25,33,28149
11-02-2011,33.9,33.9,28.4,30.75,41386
18-02-2011,31,32.45,30.25,30.55,48063
25-02-2011,31.25,31.25,28.05,29.5,21682
04-03-2011,30.5,33.7,29.25,30.95,90101
11-03-2011,31,34.1,28.55,30.35,186380
18-03-2011,30.3,35.15,29.65,30.6,273917
25-03-2011,30.4,31.15,28.15,29.35,143125
01-04-2011,28.9,30.9,28.15,30.6,153589
08-04-2011,31.5,33.7,25.85,29.95,123016
15-04-2011,30.9,32.75,29.55,30.5,151179
21-04-2011,31,31.2,29.7,30.45,48943
29-04-2011,30.6,30.7,28.55,28.65,20686
06-05-2011,29.3,29.65,26.25,26.9,16177
13-05-2011,26.7,29.9,26.05,28,87733
20-05-2011,28.5,28.5,26.3,27.45,66145
27-05-2011,27.5,27.5,26.1,26.65,11169
03-06-2011,27.45,27.8,26.65,27,15754
10-06-2011,27.9,28.5,27.2,27.45,14592
17-06-2011,28,30.6,27.4,27.85,87981
24-06-2011,28.5,28.5,25.5,26.9,48166
01-07-2011,27.1,28.5,26.15,27.95,17528
08-07-2011,27.4,29.2,27.4,28.05,46528
15-07-2011,28.45,31.95,27.25,29.75,268670
22-07-2011,30.25,32.4,29.1,29.9,116537
29-07-2011,30.6,30.75,28.15,28.5,23054
05-08-2011,29,29.45,25.55,27,25736
12-08-2011,26.5,28.15,25.6,26.2,53224
19-08-2011,27,28.2,23.75,23.85,19574
26-08-2011,24.9,25.65,23.7,24.75,13347
30-08-2011,24.05,27.6,24.05,25.5,5747
02-09-2011,26.95,26.95,25.65,26.05,3259
09-09-2011,26.5,27.85,24.75,26.6,27061
16-09-2011,26.85,28,25.65,26.4,37118
23-09-2011,27.5,32.5,26.05,28.5,171029
30-09-2011,27.5,29,27.4,27.6,16244
07-10-2011,28.85,29.35,27.1,28.2,8032
14-10-2011,28.5,29.8,27.65,28.85,25770
21-10-2011,31,31.1,28.3,29.85,44856
25-10-2011,29.85,31.7,29.3,31.55,16259
28-10-2011,31.55,33.25,31.5,32.45,15569
04-11-2011,31.55,34.75,31.5,33.7,36605
11-11-2011,33.7,35.8,33.5,35.2,20789
18-11-2011,35.5,36.5,31.6,31.9,52228
25-11-2011,32.6,35.45,30.05,34.45,35181
02-12-2011,35.9,41.25,34,39.05,94970
09-12-2011,39,41,38.1,39.9,43326
16-12-2011,39.25,42.25,39.2,39.8,62828
